@relation dataset_day_5_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',488,122309,122309,-63614,58695,-26068,32627,60131,92758,'byte_10000'
'time_0',122309,-34063,58695,-26068,32627,60131,92758,-34604,58154,'byte_500'
'time_0',58695,-25527,32627,60131,92758,-34604,58154,-25300,32854,'byte_10000'
'time_0',32627,59904,92758,-34604,58154,-25300,32854,-3363,29491,'byte_10000'
'time_0',92758,28663,58154,-25300,32854,-3363,29491,-29408,83,'byte_500'
'time_0',58154,32771,32854,-3363,29491,-29408,83,34,117,'byte_500'
'time_1',32854,29374,29491,-29408,83,34,117,33117,33234,'byte_500'
'time_1',29491,-33151,83,34,117,33117,33234,-833,32401,'byte_10000'
'time_1',83,-32284,117,33117,33234,-833,32401,25790,58191,'byte_500'
'time_1',117,-24957,33234,-833,32401,25790,58191,-57921,270,'byte_500'
'time_1',33234,32131,32401,25790,58191,-57921,270,28926,29196,'byte_500'
'time_1',32401,28995,58191,-57921,270,28926,29196,3028,32224,'byte_500'
'time_2',58191,-31954,270,28926,29196,3028,32224,-32178,46,'byte_500'
'time_2',270,29150,29196,3028,32224,-32178,46,64421,64467,'byte_500'
'time_2',29196,-32243,32224,-32178,46,64421,64467,-35172,29295,'byte_10000'
'time_2',32224,-29249,46,64421,64467,-35172,29295,-29295,0,'byte_500'
'time_2',46,64467,64467,-35172,29295,-29295,0,117,117,'byte_500'
'time_3',64467,29178,29295,-29295,0,117,117,-78,39,'byte_10000'
'time_3',29295,-39,0,117,117,-78,39,58516,58555,'byte_500'
'time_3',0,-58438,117,-78,39,58516,58555,-58555,0,'byte_500'
'time_3',117,39,39,58516,58555,-58555,0,0,0,'byte_500'
'time_3',39,58555,58555,-58555,0,0,0,0,0,'byte_500'
'time_3',58555,0,0,0,0,0,0,0,0,'byte_500'
'time_4',0,0,0,0,0,0,0,0,0,'byte_500'
'time_4',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_4',0,0,0,0,0,0,0,64449,64449,'byte_500'
'time_4',0,-64449,0,0,0,64449,64449,-64449,0,'byte_500'
'time_4',0,0,0,64449,64449,-64449,0,0,0,'byte_500'
'time_4',0,64449,64449,-64449,0,0,0,29295,29295,'byte_10000'
'time_5',64449,-29295,0,0,0,29295,29295,-29295,0,'byte_500'
'time_5',0,0,0,29295,29295,-29295,0,0,0,'byte_500'
'time_5',0,29295,29295,-29295,0,0,0,0,0,'byte_500'
'time_5',29295,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,32224,32224,'byte_10000'
'time_6',0,-32224,0,0,0,32224,32224,-32224,0,'byte_500'
'time_6',0,0,0,32224,32224,-32224,0,0,0,'byte_500'
'time_6',0,32224,32224,-32224,0,0,0,0,0,'byte_500'
'time_6',32224,0,0,0,0,0,0,32224,32224,'byte_500'
'time_6',0,-32224,0,0,0,32224,32224,-32224,0,'byte_500'
