@relation dataset_p2p5_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',7481,0,0,21980,21980,-9898,12082,-8416,3666,8422,12088,-12088,0,'byte_4500'
'time_0',0,21980,21980,-9898,12082,-8416,3666,8422,12088,-12088,0,16120,16120,'byte_500'
'time_0',21980,-4038,12082,-8416,3666,8422,12088,-12088,0,16120,16120,-12459,3661,'byte_4500'
'time_0',12082,5,3666,8422,12088,-12088,0,16120,16120,-12459,3661,-3661,0,'byte_500'
'time_0',3666,12088,12088,-12088,0,16120,16120,-12459,3661,-3661,0,1285,1285,'byte_500'
'time_0',12088,-1285,0,16120,16120,-12459,3661,-3661,0,1285,1285,-1285,0,'byte_10000'
'time_1',0,16120,16120,-12459,3661,-3661,0,1285,1285,-1285,0,4028,4028,'byte_3500'
'time_1',16120,-367,3661,-3661,0,1285,1285,-1285,0,4028,4028,-4027,1,'byte_4500'
'time_1',3661,-1,0,1285,1285,-1285,0,4028,4028,-4027,1,4026,4027,'byte_8500'
'time_1',0,-2742,1285,-1285,0,4028,4028,-4027,1,4026,4027,-4027,0,'byte_7500'
'time_1',1285,0,0,4028,4028,-4027,1,4026,4027,-4027,0,0,0,'byte_4500'
'time_1',0,4028,4028,-4027,1,4026,4027,-4027,0,0,0,12302,12302,'byte_500'
'time_2',4028,-12301,1,4026,4027,-4027,0,0,0,12302,12302,-8840,3462,'byte_500'
'time_2',1,565,4027,-4027,0,0,0,12302,12302,-8840,3462,568,4030,'byte_4500'
'time_2',4027,-4030,0,0,0,12302,12302,-8840,3462,568,4030,4024,8054,'byte_500'
'time_2',0,-8054,0,12302,12302,-8840,3462,568,4030,4024,8054,-731,7323,'byte_4500'
'time_2',0,4979,12302,-8840,3462,568,4030,4024,8054,-731,7323,-3296,4027,'byte_500'
'time_2',12302,-565,3462,568,4030,4024,8054,-731,7323,-3296,4027,-4027,0,'byte_4000'
'time_3',3462,4030,4030,4024,8054,-731,7323,-3296,4027,-4027,0,0,0,'byte_500'
'time_3',4030,8054,8054,-731,7323,-3296,4027,-4027,0,0,0,4027,4027,'byte_4000'
'time_3',8054,3296,7323,-3296,4027,-4027,0,0,0,4027,4027,-4026,1,'byte_500'
'time_3',7323,4026,4027,-4027,0,0,0,4027,4027,-4026,1,4026,4027,'byte_500'
'time_3',4027,-4027,0,0,0,4027,4027,-4026,1,4026,4027,-4027,0,'byte_500'
'time_4',0,0,0,4027,4027,-4026,1,4026,4027,-4027,0,3663,3663,'byte_500'
'time_4',0,364,4027,-4026,1,4026,4027,-4027,0,3663,3663,-3663,0,'byte_500'
'time_4',4027,1,1,4026,4027,-4027,0,3663,3663,-3663,0,3662,3662,'byte_500'
'time_4',1,365,4027,-4027,0,3663,3663,-3663,0,3662,3662,-3662,0,'byte_500'
'time_4',4027,0,0,3663,3663,-3663,0,3662,3662,-3662,0,0,0,'byte_500'
'time_4',0,3663,3663,-3663,0,3662,3662,-3662,0,0,0,0,0,'byte_500'
'time_5',3663,0,0,3662,3662,-3662,0,0,0,0,0,0,0,'byte_500'
'time_5',0,3662,3662,-3662,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',3662,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_4500'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
