@relation dataset_day_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',1551,22528,22528,-14992,7536,21823,29359,2288,31647,'byte_1000'
'time_0',22528,-24111,7536,21823,29359,2288,31647,-30864,783,'byte_10000'
'time_0',7536,28576,29359,2288,31647,-30864,783,31518,32301,'byte_10000'
'time_0',29359,-654,31647,-30864,783,31518,32301,4968,37269,'byte_10000'
'time_0',31647,-36486,783,31518,32301,4968,37269,58846,96115,'byte_500'
'time_0',783,-63814,32301,4968,37269,58846,96115,-95871,244,'byte_10000'
'time_1',32301,37025,37269,58846,96115,-95871,244,31928,32172,'byte_500'
'time_1',37269,63943,96115,-95871,244,31928,32172,-31971,201,'byte_10000'
'time_1',96115,43,244,31928,32172,-31971,201,31999,32200,'byte_10000'
'time_1',244,-28,32172,-31971,201,31999,32200,-2740,29460,'byte_1000'
'time_1',32172,-29259,201,31999,32200,-2740,29460,-28610,850,'byte_10000'
'time_1',201,31350,32200,-2740,29460,-28610,850,28681,29531,'byte_10000'
'time_2',32200,-71,29460,-28610,850,28681,29531,2808,32339,'byte_500'
'time_2',29460,-31489,850,28681,29531,2808,32339,-32278,61,'byte_10000'
'time_2',850,29470,29531,2808,32339,-32278,61,32196,32257,'byte_500'
'time_2',29531,82,32339,-32278,61,32196,32257,-32250,7,'byte_10000'
'time_2',32339,54,61,32196,32257,-32250,7,32289,32296,'byte_500'
'time_2',61,-39,32257,-32250,7,32289,32296,-32296,0,'byte_10000'
'time_3',32257,7,7,32289,32296,-32296,0,64449,64449,'byte_10000'
'time_3',7,-32153,32296,-32296,0,64449,64449,-32225,32224,'byte_500'
'time_3',32296,-32224,0,64449,64449,-32225,32224,-32224,0,'byte_10000'
'time_3',0,64449,64449,-32225,32224,-32224,0,32226,32226,'byte_10000'
'time_3',64449,-2,32224,-32224,0,32226,32226,-2,32224,'byte_500'
'time_4',32224,-32224,0,32226,32226,-2,32224,-32224,0,'byte_500'
'time_4',0,32226,32226,-2,32224,-32224,0,0,0,'byte_500'
'time_4',32226,32224,32224,-32224,0,0,0,0,0,'byte_500'
'time_4',32224,0,0,0,0,0,0,0,0,'byte_500'
'time_4',0,0,0,0,0,0,0,0,0,'byte_500'
'time_4',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,0,0,0,32224,32224,'byte_500'
'time_5',0,-32224,0,0,0,32224,32224,-32224,0,'byte_500'
'time_5',0,0,0,32224,32224,-32224,0,0,0,'byte_500'
'time_5',0,32224,32224,-32224,0,0,0,0,0,'byte_500'
'time_5',32224,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,29295,29295,'byte_500'
'time_6',0,-29295,0,0,0,29295,29295,-29295,0,'byte_500'
'time_6',0,0,0,29295,29295,-29295,0,0,0,'byte_500'
'time_6',0,29295,29295,-29295,0,0,0,0,0,'byte_500'
'time_6',29295,0,0,0,0,0,0,0,0,'byte_6000'
'time_7',0,0,0,0,0,0,0,5668,5668,'byte_500'
'time_7',0,-5668,0,0,0,5668,5668,-5668,0,'byte_500'
'time_7',0,0,0,5668,5668,-5668,0,0,0,'byte_500'
'time_7',0,5668,5668,-5668,0,0,0,0,0,'byte_500'
'time_7',5668,0,0,0,0,0,0,0,0,'byte_500'
'time_7',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_8',0,0,0,0,0,0,0,64462,64462,'byte_10000'
'time_8',0,-64462,0,0,0,64462,64462,-35167,29295,'byte_500'
'time_8',0,-29295,0,64462,64462,-35167,29295,-29295,0,'byte_500'
'time_8',0,64462,64462,-35167,29295,-29295,0,0,0,'byte_4500'
'time_8',64462,29295,29295,-29295,0,0,0,4122,4122,'byte_10000'
'time_9',29295,-4122,0,0,0,4122,4122,23981,28103,'byte_500'
'time_9',0,-28103,0,4122,4122,23981,28103,-28074,29,'byte_10000'
'time_9',0,4093,4122,23981,28103,-28074,29,32163,32192,'byte_500'
'time_9',4122,-4089,28103,-28074,29,32163,32192,-32192,0,'byte_500'
'time_9',28103,29,29,32163,32192,-32192,0,0,0,'byte_10000'
'time_9',29,32192,32192,-32192,0,0,0,114479,114479,'byte_10000'
'time_10',32192,-114479,0,0,0,114479,114479,-68746,45733,'byte_500'
'time_10',0,-45733,0,114479,114479,-68746,45733,-45733,0,'byte_500'
'time_10',0,114479,114479,-68746,45733,-45733,0,0,0,'byte_500'
'time_10',114479,45733,45733,-45733,0,0,0,0,0,'byte_500'
'time_10',45733,0,0,0,0,0,0,0,0,'byte_1500'
'time_10',0,0,0,0,0,0,0,1423,1423,'byte_10000'
'time_11',0,-1423,0,0,0,1423,1423,26578,28001,'byte_500'
'time_11',0,-28001,0,1423,1423,26578,28001,-27969,32,'byte_10000'
'time_11',0,1391,1423,26578,28001,-27969,32,146413,146445,'byte_500'
'time_11',1423,-118444,28001,-27969,32,146413,146445,-146445,0,'byte_10000'
'time_11',28001,32,32,146413,146445,-146445,0,29295,29295,'byte_10000'
