@relation dataset_day_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',1390,0,0,31194,31194,29678,60872,-60850,22,'byte_500'
'time_0',0,31172,31194,29678,60872,-60850,22,58851,58873,'byte_10000'
'time_0',31194,1999,60872,-60850,22,58851,58873,-26602,32271,'byte_10000'
'time_0',60872,-32249,22,58851,58873,-26602,32271,-3456,28815,'byte_500'
'time_0',22,30058,58873,-26602,32271,-3456,28815,-28219,596,'byte_500'
'time_0',58873,31675,32271,-3456,28815,-28219,596,57947,58543,'byte_500'
'time_1',32271,-29728,28815,-28219,596,57947,58543,5919,64462,'byte_500'
'time_1',28815,-63866,596,57947,58543,5919,64462,-64373,89,'byte_500'
'time_1',596,58454,58543,5919,64462,-64373,89,7,96,'byte_500'
'time_1',58543,64366,64462,-64373,89,7,96,29416,29512,'byte_500'
'time_1',64462,-29423,89,7,96,29416,29512,2495,32007,'byte_500'
'time_1',89,-31911,96,29416,29512,2495,32007,-2703,29304,'byte_500'
'time_2',96,208,29512,2495,32007,-2703,29304,35601,64905,'byte_500'
'time_2',29512,-32898,32007,-2703,29304,35601,64905,-35357,29548,'byte_500'
'time_2',32007,-244,29304,35601,64905,-35357,29548,2760,32308,'byte_500'
'time_2',29304,32597,64905,-35357,29548,2760,32308,-32281,27,'byte_500'
'time_2',64905,29521,29548,2760,32308,-32281,27,17,44,'byte_500'
'time_2',29548,32264,32308,-32281,27,17,44,87817,87861,'byte_500'
'time_3',32308,-87834,27,17,44,87817,87861,-87861,0,'byte_10000'
'time_3',27,44,44,87817,87861,-87861,0,64449,64449,'byte_500'
'time_3',44,23412,87861,-87861,0,64449,64449,-64449,0,'byte_500'
'time_3',87861,0,0,64449,64449,-64449,0,0,0,'byte_500'
'time_3',0,64449,64449,-64449,0,0,0,64481,64481,'byte_500'
'time_4',64449,-64481,0,0,0,64481,64481,-35186,29295,'byte_500'
'time_4',0,-29295,0,64481,64481,-35186,29295,-29295,0,'byte_10000'
'time_4',0,64481,64481,-35186,29295,-29295,0,0,0,'byte_500'
'time_4',64481,29295,29295,-29295,0,0,0,0,0,'byte_500'
'time_4',29295,0,0,0,0,0,0,0,0,'byte_500'
'time_4',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,32224,32224,'byte_500'
'time_6',0,-32224,0,0,0,32224,32224,-32224,0,'byte_500'
'time_7',0,0,0,32224,32224,-32224,0,0,0,'byte_500'
'time_7',0,32224,32224,-32224,0,0,0,0,0,'byte_10000'
'time_7',32224,0,0,0,0,0,0,0,0,'byte_500'
'time_7',0,0,0,0,0,0,0,0,0,'byte_500'
'time_7',0,0,0,0,0,0,0,32224,32224,'byte_10000'
'time_7',0,-32224,0,0,0,32224,32224,-32224,0,'byte_10000'
'time_8',0,0,0,32224,32224,-32224,0,0,0,'byte_10000'
'time_8',0,32224,32224,-32224,0,0,0,0,0,'byte_500'
'time_8',32224,0,0,0,0,0,0,32224,32224,'byte_10000'
'time_8',0,-32224,0,0,0,32224,32224,-2929,29295,'byte_500'
'time_8',0,-29295,0,32224,32224,-2929,29295,2929,32224,'byte_500'
'time_9',0,0,32224,-2929,29295,2929,32224,-32224,0,'byte_10000'
'time_9',32224,29295,29295,2929,32224,-32224,0,0,0,'byte_500'
'time_9',29295,32224,32224,-32224,0,0,0,32,32,'byte_10000'
'time_9',32224,-32,0,0,0,32,32,30228,30260,'byte_10000'
'time_9',0,-30260,0,32,32,30228,30260,1964,32224,'byte_10000'
'time_9',0,-32192,32,30228,30260,1964,32224,-32224,0,'byte_10000'
'time_10',32,30260,30260,1964,32224,-32224,0,0,0,'byte_500'
'time_10',30260,32224,32224,-32224,0,0,0,29295,29295,'byte_500'
'time_10',32224,-29295,0,0,0,29295,29295,-29295,0,'byte_500'
'time_10',0,0,0,29295,29295,-29295,0,0,0,'byte_500'
'time_10',0,29295,29295,-29295,0,0,0,0,0,'byte_500'
'time_10',29295,0,0,0,0,0,0,32238,32238,'byte_500'
'time_11',0,-32238,0,0,0,32238,32238,-32238,0,'byte_500'
'time_11',0,0,0,32238,32238,-32238,0,0,0,'byte_500'
'time_11',0,32238,32238,-32238,0,0,0,29295,29295,'byte_500'
'time_11',32238,-29295,0,0,0,29295,29295,66251,95546,'byte_1000'
'time_11',0,-95546,0,29295,29295,66251,95546,-7585,87961,'byte_500'
'time_12',0,-58666,29295,66251,95546,-7585,87961,-87961,0,'byte_1000'
'time_12',29295,95546,95546,-7585,87961,-87961,0,96762,96762,'byte_500'
'time_12',95546,-8801,87961,-87961,0,96762,96762,-96762,0,'byte_500'
'time_12',87961,0,0,96762,96762,-96762,0,0,0,'byte_1000'
'time_12',0,96762,96762,-96762,0,0,0,87914,87914,'byte_1000'
'time_12',96762,-87914,0,0,0,87914,87914,-87588,326,'byte_500'
'time_13',0,-326,0,87914,87914,-87588,326,47746,48072,'byte_500'
'time_13',0,39842,87914,-87588,326,47746,48072,-3982,44090,'byte_1000'
'time_13',87914,-43764,326,47746,48072,-3982,44090,11470,55560,'byte_500'
'time_13',326,-7488,48072,-3982,44090,11470,55560,-23001,32559,'byte_1000'
'time_13',48072,11531,44090,11470,55560,-23001,32559,-32411,148,'byte_500'
'time_13',44090,55412,55560,-23001,32559,-32411,148,162,310,'byte_1000'
'time_14',55560,32249,32559,-32411,148,162,310,-110,200,'byte_500'
'time_14',32559,-52,148,162,310,-110,200,155,355,'byte_500'
'time_14',148,-45,310,-110,200,155,355,9,364,'byte_500'
'time_14',310,-164,200,155,355,9,364,-87,277,'byte_500'
'time_14',200,78,355,9,364,-87,277,-93,184,'byte_1000'
'time_14',355,180,364,-87,277,-93,184,-122,62,'byte_1000'
'time_15',364,215,277,-93,184,-122,62,273,335,'byte_1000'
'time_15',277,-151,184,-122,62,273,335,225,560,'byte_500'
'time_15',184,-498,62,273,335,225,560,-429,131,'byte_500'
'time_15',62,204,335,225,560,-429,131,419,550,'byte_500'
'time_15',335,10,560,-429,131,419,550,-407,143,'byte_500'
'time_16',560,-12,131,419,550,-407,143,56,199,'byte_500'
'time_16',131,351,550,-407,143,56,199,771,970,'byte_1000'
'time_16',550,-827,143,56,199,771,970,-262,708,'byte_500'
'time_16',143,-509,199,771,970,-262,708,-263,445,'byte_500'
'time_16',199,525,970,-262,708,-263,445,-245,200,'byte_1000'
'time_16',970,508,708,-263,445,-245,200,354,554,'byte_1000'
'time_17',708,-109,445,-245,200,354,554,-359,195,'byte_1000'
'time_17',445,5,200,354,554,-359,195,321,516,'byte_1000'
'time_17',200,38,554,-359,195,321,516,-427,89,'byte_500'
'time_17',554,106,195,321,516,-427,89,430,519,'byte_1000'
'time_17',195,-3,516,-427,89,430,519,-303,216,'byte_500'
'time_18',516,-127,89,430,519,-303,216,238,454,'byte_1500'
'time_18',89,65,519,-303,216,238,454,4,458,'byte_1000'
'time_18',519,-242,216,238,454,4,458,-291,167,'byte_1500'
'time_18',216,287,454,4,458,-291,167,754,921,'byte_1500'
'time_18',454,-463,458,-291,167,754,921,-160,761,'byte_1500'
'time_18',458,-594,167,754,921,-160,761,-114,647,'byte_500'
'time_19',167,274,921,-160,761,-114,647,-408,239,'byte_1000'
'time_19',921,522,761,-114,647,-408,239,199,438,'byte_500'
'time_19',761,209,647,-408,239,199,438,-401,37,'byte_1500'
'time_19',647,202,239,199,438,-401,37,456,493,'byte_500'
'time_19',239,-55,438,-401,37,456,493,-232,261,'byte_10000'
'time_19',438,-224,37,456,493,-232,261,406,667,'byte_10000'
'time_20',37,-174,493,-232,261,406,667,-301,366,'byte_500'
'time_20',493,-105,261,406,667,-301,366,-350,16,'byte_10000'
'time_20',261,651,667,-301,366,-350,16,802,818,'byte_10000'
'time_20',667,-452,366,-350,16,802,818,-280,538,'byte_10000'
'time_20',366,-522,16,802,818,-280,538,60,598,'byte_1000'
'time_21',16,220,818,-280,538,60,598,352,950,'byte_10000'
'time_21',818,-412,538,60,598,352,950,-708,242,'byte_10000'
'time_21',538,356,598,352,950,-708,242,667,909,'byte_500'
'time_21',598,41,950,-708,242,667,909,-553,356,'byte_500'
'time_21',950,-114,242,667,909,-553,356,855,1211,'byte_10000'
'time_21',242,-302,909,-553,356,855,1211,-364,847,'byte_10000'
'time_22',909,-491,356,855,1211,-364,847,155,1002,'byte_10000'
