@relation dataset_day_30_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',48,95940,95940,-35924,60016,-5341,54675,-54407,268,-154,114,29482,29596,'byte_10000'
'time_0',95940,30420,60016,-5341,54675,-54407,268,-154,114,29482,29596,2802,32398,'byte_10000'
'time_0',60016,22277,54675,-54407,268,-154,114,29482,29596,2802,32398,-32389,9,'byte_500'
'time_0',54675,259,268,-154,114,29482,29596,2802,32398,-32389,9,32293,32302,'byte_500'
'time_0',268,-32188,114,29482,29596,2802,32398,-32389,9,32293,32302,107816,140118,'byte_10000'
'time_0',114,-110522,29596,2802,32398,-32389,9,32293,32302,107816,140118,-10960,129158,'byte_10000'
'time_1',29596,-96760,32398,-32389,9,32293,32302,107816,140118,-10960,129158,-119922,9236,'byte_10000'
'time_1',32398,-9227,9,32293,32302,107816,140118,-10960,129158,-119922,9236,12918,22154,'byte_1000'
'time_1',9,10148,32302,107816,140118,-10960,129158,-119922,9236,12918,22154,52668,74822,'byte_500'
'time_1',32302,65296,140118,-10960,129158,-119922,9236,12918,22154,52668,74822,-74776,46,'byte_10000'
'time_1',140118,129112,129158,-119922,9236,12918,22154,52668,74822,-74776,46,64318,64364,'byte_500'
'time_1',129158,-55128,9236,12918,22154,52668,74822,-74776,46,64318,64364,-33678,30686,'byte_10000'
'time_2',9236,-8532,22154,52668,74822,-74776,46,64318,64364,-33678,30686,-150,30536,'byte_500'
'time_2',22154,44286,74822,-74776,46,64318,64364,-33678,30686,-150,30536,-30501,35,'byte_500'
'time_2',74822,11,46,64318,64364,-33678,30686,-150,30536,-30501,35,-35,0,'byte_500'
'time_2',46,64364,64364,-33678,30686,-150,30536,-30501,35,-35,0,64565,64565,'byte_500'
'time_2',64364,-33879,30686,-150,30536,-30501,35,-35,0,64565,64565,-5975,58590,'byte_500'
'time_2',30686,-28054,30536,-30501,35,-35,0,64565,64565,-5975,58590,-27110,31480,'byte_500'
'time_3',30536,-31445,35,-35,0,64565,64565,-5975,58590,-27110,31480,-30804,676,'byte_500'
'time_3',35,-676,0,64565,64565,-5975,58590,-27110,31480,-30804,676,-676,0,'byte_500'
'time_3',0,64565,64565,-5975,58590,-27110,31480,-30804,676,-676,0,32224,32224,'byte_500'
'time_3',64565,26366,58590,-27110,31480,-30804,676,-676,0,32224,32224,-32224,0,'byte_500'
'time_3',58590,31480,31480,-30804,676,-676,0,32224,32224,-32224,0,64449,64449,'byte_500'
'time_4',31480,-63773,676,-676,0,32224,32224,-32224,0,64449,64449,-64449,0,'byte_500'
'time_4',676,0,0,32224,32224,-32224,0,64449,64449,-64449,0,0,0,'byte_500'
'time_4',0,32224,32224,-32224,0,64449,64449,-64449,0,0,0,0,0,'byte_500'
'time_4',32224,0,0,64449,64449,-64449,0,0,0,0,0,0,0,'byte_500'
'time_4',0,64449,64449,-64449,0,0,0,0,0,0,0,0,0,'byte_500'
