@relation dataset_day_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',623,3206,3206,-3206,0,29330,29330,35152,64482,-5774,58708,-26057,32651,'byte_10000'
'time_0',3206,-32651,0,29330,29330,35152,64482,-5774,58708,-26057,32651,-32531,120,'byte_10000'
'time_0',0,29210,29330,35152,64482,-5774,58708,-26057,32651,-32531,120,96921,97041,'byte_10000'
'time_0',29330,-32559,64482,-5774,58708,-26057,32651,-32531,120,96921,97041,-67430,29611,'byte_500'
'time_0',64482,29097,58708,-26057,32651,-32531,120,96921,97041,-67430,29611,3693,33304,'byte_500'
'time_0',58708,-653,32651,-32531,120,96921,97041,-67430,29611,3693,33304,-33169,135,'byte_500'
'time_1',32651,-15,120,96921,97041,-67430,29611,3693,33304,-33169,135,64490,64625,'byte_10000'
'time_1',120,32416,97041,-67430,29611,3693,33304,-33169,135,64490,64625,-34032,30593,'byte_500'
'time_1',97041,-982,29611,3693,33304,-33169,135,64490,64625,-34032,30593,-30425,168,'byte_500'
'time_1',29611,33136,33304,-33169,135,64490,64625,-34032,30593,-30425,168,58506,58674,'byte_500'
'time_1',33304,-58539,135,64490,64625,-34032,30593,-30425,168,58506,58674,-26409,32265,'byte_10000'
'time_1',135,32360,64625,-34032,30593,-30425,168,58506,58674,-26409,32265,-2785,29480,'byte_500'
'time_2',64625,1113,30593,-30425,168,58506,58674,-26409,32265,-2785,29480,3169,32649,'byte_500'
'time_2',30593,-32481,168,58506,58674,-26409,32265,-2785,29480,3169,32649,-3140,29509,'byte_500'
'time_2',168,29165,58674,-26409,32265,-2785,29480,3169,32649,-3140,29509,-29509,0,'byte_500'
'time_2',58674,32265,32265,-2785,29480,3169,32649,-3140,29509,-29509,0,0,0,'byte_500'
'time_2',32265,29480,29480,3169,32649,-3140,29509,-29509,0,0,0,7,7,'byte_500'
'time_2',29480,32642,32649,-3140,29509,-29509,0,0,0,7,7,21663,21670,'byte_500'
'time_3',32649,7839,29509,-29509,0,0,0,7,7,21663,21670,-21670,0,'byte_500'
'time_3',29509,0,0,0,0,7,7,21663,21670,-21670,0,0,0,'byte_500'
'time_3',0,0,0,7,7,21663,21670,-21670,0,0,0,0,0,'byte_500'
'time_3',0,7,7,21663,21670,-21670,0,0,0,0,0,29324,29324,'byte_500'
'time_3',7,-7654,21670,-21670,0,0,0,0,0,29324,29324,-29324,0,'byte_500'
'time_4',21670,0,0,0,0,0,0,29324,29324,-29324,0,0,0,'byte_500'
'time_4',0,0,0,0,0,29324,29324,-29324,0,0,0,0,0,'byte_500'
'time_4',0,0,0,29324,29324,-29324,0,0,0,0,0,0,0,'byte_500'
'time_4',0,29324,29324,-29324,0,0,0,0,0,0,0,0,0,'byte_500'
'time_4',29324,0,0,0,0,0,0,0,0,0,0,0,0,'byte_10000'
'time_4',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,0,0,32224,32224,'byte_10000'
'time_6',0,-32224,0,0,0,0,0,0,0,32224,32224,-32224,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,32224,32224,-32224,0,0,0,'byte_500'
'time_7',0,0,0,0,0,32224,32224,-32224,0,0,0,0,0,'byte_10000'
'time_7',0,0,0,32224,32224,-32224,0,0,0,0,0,0,0,'byte_500'
'time_7',0,32224,32224,-32224,0,0,0,0,0,0,0,64449,64449,'byte_10000'
'time_7',32224,-64449,0,0,0,0,0,0,0,64449,64449,-64420,29,'byte_10000'
'time_7',0,-29,0,0,0,0,0,64449,64449,-64420,29,-29,0,'byte_500'
'time_7',0,0,0,0,0,64449,64449,-64420,29,-29,0,29295,29295,'byte_10000'
'time_8',0,-29295,0,64449,64449,-64420,29,-29,0,29295,29295,-29295,0,'byte_500'
'time_8',0,64449,64449,-64420,29,-29,0,29295,29295,-29295,0,0,0,'byte_10000'
'time_8',64449,29,29,-29,0,29295,29295,-29295,0,0,0,128898,128898,'byte_500'
'time_8',29,-128898,0,29295,29295,-29295,0,0,0,128898,128898,-96674,32224,'byte_10000'
'time_8',0,-2929,29295,-29295,0,0,0,128898,128898,-96674,32224,-32223,1,'byte_10000'
'time_9',29295,-1,0,0,0,128898,128898,-96674,32224,-32223,1,32223,32224,'byte_500'
'time_9',0,-32224,0,128898,128898,-96674,32224,-32223,1,32223,32224,-32212,12,'byte_10000'
'time_9',0,128886,128898,-96674,32224,-32223,1,32223,32224,-32212,12,64424,64436,'byte_500'
