@relation dataset_day_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',856,58609,58609,-58520,89,35682,35771,-3181,32590,'byte_10000'
'time_0',58609,-32501,89,35682,35771,-3181,32590,-3380,29210,'byte_500'
'time_0',89,6561,35771,-3181,32590,-3380,29210,-27990,1220,'byte_500'
'time_0',35771,31370,32590,-3380,29210,-27990,1220,28945,30165,'byte_500'
'time_0',32590,-955,29210,-27990,1220,28945,30165,48062,78227,'byte_500'
'time_0',29210,-77007,1220,28945,30165,48062,78227,-45291,32936,'byte_500'
'time_1',1220,-2771,30165,48062,78227,-45291,32936,-764,32172,'byte_500'
'time_1',30165,46055,78227,-45291,32936,-764,32172,-32125,47,'byte_500'
'time_1',78227,32889,32936,-764,32172,-32125,47,32265,32312,'byte_500'
'time_1',32936,-140,32172,-32125,47,32265,32312,-32195,117,'byte_500'
'time_1',32172,-70,47,32265,32312,-32195,117,32075,32192,'byte_500'
'time_1',47,120,32312,-32195,117,32075,32192,-21614,10578,'byte_500'
'time_2',32312,-10461,117,32075,32192,-21614,10578,10262,20840,'byte_500'
'time_2',117,11352,32192,-21614,10578,10262,20840,-20788,52,'byte_10000'
'time_2',32192,10526,10578,10262,20840,-20788,52,14221,14273,'byte_500'
'time_2',10578,6567,20840,-20788,52,14221,14273,2075,16348,'byte_500'
'time_2',20840,-16296,52,14221,14273,2075,16348,15760,32108,'byte_500'
'time_2',52,-17835,14273,2075,16348,15760,32108,-2813,29295,'byte_10000'
'time_3',14273,-12947,16348,15760,32108,-2813,29295,-29295,0,'byte_500'
'time_3',16348,32108,32108,-2813,29295,-29295,0,32224,32224,'byte_10000'
'time_3',32108,-2929,29295,-29295,0,32224,32224,-32224,0,'byte_500'
'time_3',29295,0,0,32224,32224,-32224,0,32224,32224,'byte_500'
'time_3',0,0,32224,-32224,0,32224,32224,-32224,0,'byte_10000'
'time_4',32224,0,0,32224,32224,-32224,0,0,0,'byte_500'
'time_4',0,32224,32224,-32224,0,0,0,0,0,'byte_500'
'time_4',32224,0,0,0,0,0,0,0,0,'byte_10000'
'time_4',0,0,0,0,0,0,0,0,0,'byte_500'
'time_4',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_4',0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,32224,32224,'byte_500'
'time_6',0,-32224,0,0,0,32224,32224,-32211,13,'byte_10000'
'time_6',0,-13,0,32224,32224,-32211,13,-13,0,'byte_500'
