@relation dataset_p2p5_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',7319,0,0,14653,14653,-10623,4030,-369,3661,'byte_4500'
'time_0',0,10992,14653,-10623,4030,-369,3661,9320,12981,'byte_4000'
'time_0',14653,-8951,4030,-369,3661,9320,12981,1666,14647,'byte_4500'
'time_0',4030,-10986,3661,9320,12981,1666,14647,-10616,4031,'byte_6500'
'time_0',3661,8950,12981,1666,14647,-10616,4031,10611,14642,'byte_4500'
'time_0',12981,5,14647,-10616,4031,10611,14642,-10615,4027,'byte_500'
'time_1',14647,4,4031,10611,14642,-10615,4027,1,4028,'byte_10000'
'time_1',4031,10614,14642,-10615,4027,1,4028,-366,3662,'byte_8500'
'time_1',14642,365,4027,1,4028,-366,3662,367,4029,'byte_4000'
'time_1',4027,-1,4028,-366,3662,367,4029,2066,6095,'byte_8500'
'time_1',4028,-2433,3662,367,4029,2066,6095,-2067,4028,'byte_500'
'time_1',3662,1,4029,2066,6095,-2067,4028,-4021,7,'byte_500'
'time_2',4029,6088,6095,-2067,4028,-4021,7,12068,12075,'byte_500'
'time_2',6095,-8047,4028,-4021,7,12068,12075,-4019,8056,'byte_4000'
'time_2',4028,-8049,7,12068,12075,-4019,8056,-4396,3660,'byte_500'
'time_2',7,8415,12075,-4019,8056,-4396,3660,4399,8059,'byte_500'
'time_2',12075,-3,8056,-4396,3660,4399,8059,-8059,0,'byte_4000'
'time_2',8056,3660,3660,4399,8059,-8059,0,0,0,'byte_4500'
'time_3',3660,8059,8059,-8059,0,0,0,0,0,'byte_4000'
'time_3',8059,0,0,0,0,0,0,3663,3663,'byte_4000'
'time_3',0,-3663,0,0,0,3663,3663,-3663,0,'byte_500'
'time_3',0,0,0,3663,3663,-3663,0,0,0,'byte_500'
'time_3',0,3663,3663,-3663,0,0,0,3665,3665,'byte_500'
'time_4',3663,-3665,0,0,0,3665,3665,363,4028,'byte_500'
'time_4',0,-4028,0,3665,3665,363,4028,-38,3990,'byte_500'
'time_4',0,-325,3665,363,4028,-38,3990,-329,3661,'byte_4500'
'time_4',3665,367,4028,-38,3990,-329,3661,-3661,0,'byte_500'
'time_4',4028,3990,3990,-329,3661,-3661,0,0,0,'byte_500'
'time_4',3990,3661,3661,-3661,0,0,0,0,0,'byte_500'
'time_5',3661,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,4027,4027,'byte_500'
'time_5',0,-4027,0,0,0,4027,4027,-4027,0,'byte_4500'
'time_5',0,0,0,4027,4027,-4027,0,0,0,'byte_4000'
'time_5',0,4027,4027,-4027,0,0,0,0,0,'byte_500'
'time_6',4027,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_4500'
'time_6',0,0,0,0,0,0,0,4028,4028,'byte_500'
'time_6',0,-4028,0,0,0,4028,4028,-367,3661,'byte_4500'
'time_6',0,-3661,0,4028,4028,-367,3661,-3661,0,'byte_500'
'time_7',0,4028,4028,-367,3661,-3661,0,0,0,'byte_4000'
'time_7',4028,3661,3661,-3661,0,0,0,0,0,'byte_4500'
'time_7',3661,0,0,0,0,0,0,4034,4034,'byte_500'
'time_7',0,-4034,0,0,0,4034,4034,-4034,0,'byte_7500'
'time_7',0,0,0,4034,4034,-4034,0,4027,4027,'byte_500'
'time_7',0,7,4034,-4034,0,4027,4027,-4026,1,'byte_500'
'time_8',4034,-1,0,4027,4027,-4026,1,3659,3660,'byte_4500'
'time_8',0,367,4027,-4026,1,3659,3660,367,4027,'byte_500'
'time_8',4027,-4026,1,3659,3660,367,4027,-4025,2,'byte_7500'
'time_8',1,3658,3660,367,4027,-4025,2,7326,7328,'byte_4500'
'time_8',3660,-3301,4027,-4025,2,7326,7328,-7328,0,'byte_10000'
'time_9',4027,2,2,7326,7328,-7328,0,0,0,'byte_10000'
'time_9',2,7328,7328,-7328,0,0,0,4027,4027,'byte_1000'
'time_9',7328,-4027,0,0,0,4027,4027,-4023,4,'byte_4000'
'time_9',0,-4,0,4027,4027,-4023,4,7319,7323,'byte_500'
'time_9',0,-3296,4027,-4023,4,7319,7323,-3292,4031,'byte_7500'
'time_9',4027,-4027,4,7319,7323,-3292,4031,6950,10981,'byte_4500'
'time_10',4,-3658,7323,-3292,4031,6950,10981,169,11150,'byte_10000'
'time_10',7323,-7119,4031,6950,10981,169,11150,-10217,933,'byte_500'
