@relation dataset_day_1
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_0','byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',11,33,32192,159,32146,'byte_0'
'time_0',33,32192,159,32146,29381,'byte_0'
'time_0',32192,159,32146,29381,253,'byte_10000'
'time_0',159,32146,29381,253,29334,'byte_0'
'time_0',32146,29381,253,29334,29495,'byte_0'
'time_0',29381,253,29334,29495,95772,'byte_0'
'time_1',253,29334,29495,95772,58762,'byte_0'
'time_1',29334,29495,95772,58762,32680,'byte_10000'
'time_1',29495,95772,58762,32680,8850,'byte_0'
'time_1',95772,58762,32680,8850,20642,'byte_0'
'time_1',58762,32680,8850,20642,361,'byte_0'
'time_1',32680,8850,20642,361,87969,'byte_0'
'time_2',8850,20642,361,87969,32435,'byte_0'
'time_2',20642,361,87969,32435,79,'byte_0'
'time_2',361,87969,32435,79,32271,'byte_0'
'time_2',87969,32435,79,32271,32294,'byte_0'
'time_2',32435,79,32271,32294,0,'byte_0'
'time_2',79,32271,32294,0,64449,'byte_0'
'time_3',32271,32294,0,64449,0,'byte_10000'
'time_3',32294,0,64449,0,32,'byte_0'
'time_3',0,64449,0,32,0,'byte_0'
'time_3',64449,0,32,0,0,'byte_10000'
'time_3',0,32,0,0,0,'byte_10000'
'time_4',32,0,0,0,29295,'byte_0'
'time_4',0,0,0,29295,0,'byte_10000'
'time_4',0,0,29295,0,0,'byte_0'
'time_4',0,29295,0,0,0,'byte_0'
'time_4',29295,0,0,0,0,'byte_10000'
'time_4',0,0,0,0,29295,'byte_10000'
'time_5',0,0,0,29295,0,'byte_0'
'time_5',0,0,29295,0,0,'byte_0'
'time_5',0,29295,0,0,0,'byte_0'
'time_5',29295,0,0,0,0,'byte_0'
'time_5',0,0,0,0,0,'byte_0'
'time_5',0,0,0,0,0,'byte_0'
'time_6',0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,'byte_0'
'time_6',0,0,0,0,0,'byte_0'
'time_6',0,0,0,0,0,'byte_0'
'time_6',0,0,0,0,64449,'byte_10000'
'time_6',0,0,0,64449,0,'byte_0'
'time_7',0,0,64449,0,0,'byte_10000'
'time_7',0,64449,0,0,32224,'byte_0'
'time_7',64449,0,0,32224,21381,'byte_0'
'time_7',0,0,32224,21381,0,'byte_0'
'time_7',0,32224,21381,0,32224,'byte_10000'
'time_8',32224,21381,0,32224,0,'byte_10000'
'time_8',21381,0,32224,0,0,'byte_10000'
'time_8',0,32224,0,0,32224,'byte_500'
'time_8',32224,0,0,32224,58584,'byte_10000'
'time_8',0,0,32224,58584,0,'byte_500'
'time_8',0,32224,58584,0,0,'byte_10000'
'time_9',32224,58584,0,0,0,'byte_10000'
'time_9',58584,0,0,0,0,'byte_500'
'time_9',0,0,0,0,0,'byte_10000'
'time_9',0,0,0,0,0,'byte_10000'
'time_9',0,0,0,0,29295,'byte_10000'
'time_9',0,0,0,29295,0,'byte_10000'
'time_10',0,0,29295,0,0,'byte_500'
'time_10',0,29295,0,0,0,'byte_1000'
'time_10',29295,0,0,0,32224,'byte_500'
'time_10',0,0,0,32224,0,'byte_500'
