@relation dataset_day_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',1073,0,0,32303,32303,-3008,29295,-6413,22882,-5054,17828,51989,69817,'byte_500'
'time_0',0,-37514,32303,-3008,29295,-6413,22882,-5054,17828,51989,69817,-28276,41541,'byte_500'
'time_0',32303,-12246,29295,-6413,22882,-5054,17828,51989,69817,-28276,41541,-9233,32308,'byte_500'
'time_0',29295,-9426,22882,-5054,17828,51989,69817,-28276,41541,-9233,32308,-22925,9383,'byte_500'
'time_0',22882,8445,17828,51989,69817,-28276,41541,-9233,32308,-22925,9383,12910,22293,'byte_500'
'time_0',17828,47524,69817,-28276,41541,-9233,32308,-22925,9383,12910,22293,-22293,0,'byte_500'
'time_1',69817,41541,41541,-9233,32308,-22925,9383,12910,22293,-22293,0,128940,128940,'byte_500'
'time_1',41541,-96632,32308,-22925,9383,12910,22293,-22293,0,128940,128940,-70284,58656,'byte_10000'
'time_1',32308,-49273,9383,12910,22293,-22293,0,128940,128940,-70284,58656,-58437,219,'byte_500'
'time_1',9383,22074,22293,-22293,0,128940,128940,-70284,58656,-58437,219,-167,52,'byte_10000'
'time_1',22293,-52,0,128940,128940,-70284,58656,-58437,219,-167,52,64603,64655,'byte_10000'
'time_1',0,64285,128940,-70284,58656,-58437,219,-167,52,64603,64655,-64477,178,'byte_500'
'time_2',128940,58478,58656,-58437,219,-167,52,64603,64655,-64477,178,95667,95845,'byte_500'
'time_2',58656,-95626,219,-167,52,64603,64655,-64477,178,95667,95845,-66469,29376,'byte_10000'
'time_2',219,-29324,52,64603,64655,-64477,178,95667,95845,-66469,29376,-29273,103,'byte_500'
'time_2',52,64552,64655,-64477,178,95667,95845,-66469,29376,-29273,103,58340,58443,'byte_500'
'time_2',64655,-58265,178,95667,95845,-66469,29376,-29273,103,58340,58443,-58333,110,'byte_500'
'time_2',178,95735,95845,-66469,29376,-29273,103,58340,58443,-58333,110,-110,0,'byte_500'
'time_3',95845,29376,29376,-29273,103,58340,58443,-58333,110,-110,0,0,0,'byte_500'
'time_3',29376,103,103,58340,58443,-58333,110,-110,0,0,0,0,0,'byte_500'
'time_3',103,58443,58443,-58333,110,-110,0,0,0,0,0,0,0,'byte_500'
'time_3',58443,110,110,-110,0,0,0,0,0,0,0,0,0,'byte_10000'
'time_3',110,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_4',0,0,0,0,0,0,0,0,0,0,0,29295,29295,'byte_500'
'time_4',0,-29295,0,0,0,0,0,0,0,29295,29295,-29295,0,'byte_10000'
'time_4',0,0,0,0,0,0,0,29295,29295,-29295,0,64449,64449,'byte_500'
'time_4',0,-64449,0,0,0,29295,29295,-29295,0,64449,64449,-35154,29295,'byte_10000'
'time_4',0,-29295,0,29295,29295,-29295,0,64449,64449,-35154,29295,-29295,0,'byte_500'
'time_4',0,29295,29295,-29295,0,64449,64449,-35154,29295,-29295,0,0,0,'byte_500'
'time_5',29295,0,0,64449,64449,-35154,29295,-29295,0,0,0,32224,32224,'byte_500'
