@relation dataset_day_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',319,66,66,96581,96647,-76788,19859,-9774,10085,'byte_10000'
'time_0',66,86562,96647,-76788,19859,-9774,10085,18475,28560,'byte_10000'
'time_0',96647,-8701,19859,-9774,10085,18475,28560,26681,55241,'byte_9000'
'time_0',19859,-45156,10085,18475,28560,26681,55241,-47047,8194,'byte_500'
'time_0',10085,20366,28560,26681,55241,-47047,8194,-8025,169,'byte_10000'
'time_0',28560,55072,55241,-47047,8194,-8025,169,29380,29549,'byte_10000'
'time_1',55241,-21355,8194,-8025,169,29380,29549,2792,32341,'byte_10000'
'time_1',8194,-32172,169,29380,29549,2792,32341,-3011,29330,'byte_10000'
'time_1',169,219,29549,2792,32341,-3011,29330,-20557,8773,'byte_500'
'time_1',29549,23568,32341,-3011,29330,-20557,8773,-8651,122,'byte_500'
'time_1',32341,29208,29330,-20557,8773,-8651,122,96398,96520,'byte_2500'
'time_1',29330,-87747,8773,-8651,122,96398,96520,-37805,58715,'byte_10000'
'time_2',8773,-58593,122,96398,96520,-37805,58715,-26255,32460,'byte_500'
'time_2',122,64060,96520,-37805,58715,-26255,32460,-3141,29319,'byte_500'
'time_2',96520,29396,58715,-26255,32460,-3141,29319,-29202,117,'byte_500'
'time_2',58715,32343,32460,-3141,29319,-29202,117,-115,2,'byte_500'
'time_2',32460,29317,29319,-29202,117,-115,2,2311,2313,'byte_10000'
'time_2',29319,-2196,117,-115,2,2311,2313,24879,27192,'byte_500'
'time_3',117,-27190,2,2311,2313,24879,27192,-27192,0,'byte_10000'
'time_3',2,2313,2313,24879,27192,-27192,0,0,0,'byte_500'
'time_3',2313,27192,27192,-27192,0,0,0,0,0,'byte_500'
'time_3',27192,0,0,0,0,0,0,0,0,'byte_500'
'time_3',0,0,0,0,0,0,0,32224,32224,'byte_500'
'time_4',0,-32224,0,0,0,32224,32224,-32224,0,'byte_500'
'time_4',0,0,0,32224,32224,-32224,0,49064,49064,'byte_500'
'time_4',0,-16840,32224,-32224,0,49064,49064,-49064,0,'byte_10000'
'time_4',32224,0,0,49064,49064,-49064,0,0,0,'byte_500'
'time_4',0,49064,49064,-49064,0,0,0,0,0,'byte_500'
'time_4',49064,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,32,32,'byte_500'
'time_5',0,-32,0,0,0,32,32,-32,0,'byte_500'
'time_5',0,0,0,32,32,-32,0,32224,32224,'byte_10000'
'time_5',0,-32192,32,-32,0,32224,32224,-32224,0,'byte_500'
'time_5',32,0,0,32224,32224,-32224,0,0,0,'byte_500'
'time_5',0,32224,32224,-32224,0,0,0,0,0,'byte_500'
'time_6',32224,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,32224,32224,'byte_10000'
'time_6',0,-32224,0,0,0,32224,32224,-32224,0,'byte_500'
'time_6',0,0,0,32224,32224,-32224,0,0,0,'byte_500'
'time_6',0,32224,32224,-32224,0,0,0,0,0,'byte_500'
'time_7',32224,0,0,0,0,0,0,29295,29295,'byte_500'
'time_7',0,-29295,0,0,0,29295,29295,-29295,0,'byte_500'
'time_7',0,0,0,29295,29295,-29295,0,32224,32224,'byte_500'
'time_7',0,-2929,29295,-29295,0,32224,32224,-32224,0,'byte_10000'
'time_7',29295,0,0,32224,32224,-32224,0,0,0,'byte_500'
'time_7',0,32224,32224,-32224,0,0,0,0,0,'byte_500'
'time_8',32224,0,0,0,0,0,0,0,0,'byte_10000'
'time_8',0,0,0,0,0,0,0,0,0,'byte_500'
'time_8',0,0,0,0,0,0,0,0,0,'byte_500'
'time_8',0,0,0,0,0,0,0,58591,58591,'byte_10000'
'time_8',0,-58591,0,0,0,58591,58591,-58591,0,'byte_500'
