@relation dataset_day_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',190,0,0,10321,10321,68227,78548,-44901,33647,'byte_10000'
'time_0',0,-23326,10321,68227,78548,-44901,33647,-33584,63,'byte_10000'
'time_0',10321,78485,78548,-44901,33647,-33584,63,29899,29962,'byte_10000'
'time_0',78548,3685,33647,-33584,63,29899,29962,-29904,58,'byte_500'
'time_0',33647,5,63,29899,29962,-29904,58,32261,32319,'byte_500'
'time_0',63,-2357,29962,-29904,58,32261,32319,-4193,28126,'byte_500'
'time_1',29962,-28068,58,32261,32319,-4193,28126,-28012,114,'byte_10000'
'time_1',58,32205,32319,-4193,28126,-28012,114,29230,29344,'byte_500'
'time_1',32319,-1218,28126,-28012,114,29230,29344,-29205,139,'byte_500'
'time_1',28126,-25,114,29230,29344,-29205,139,31,170,'byte_500'
'time_1',114,29174,29344,-29205,139,31,170,36291,36461,'byte_500'
'time_1',29344,-36322,139,31,170,36291,36461,-36461,0,'byte_500'
'time_2',139,170,170,36291,36461,-36461,0,0,0,'byte_500'
'time_2',170,36461,36461,-36461,0,0,0,134,134,'byte_500'
'time_2',36461,-134,0,0,0,134,134,96833,96967,'byte_500'
'time_2',0,-96967,0,134,134,96833,96967,-96909,58,'byte_500'
'time_2',0,76,134,96833,96967,-96909,58,128877,128935,'byte_500'
'time_2',134,-31968,96967,-96909,58,128877,128935,-99640,29295,'byte_500'
'time_3',96967,-29237,58,128877,128935,-99640,29295,2897,32192,'byte_500'
'time_3',58,96743,128935,-99640,29295,2897,32192,-32192,0,'byte_500'
'time_3',128935,29295,29295,2897,32192,-32192,0,0,0,'byte_500'
'time_3',29295,32192,32192,-32192,0,0,0,0,0,'byte_500'
'time_3',32192,0,0,0,0,0,0,32224,32224,'byte_500'
'time_4',0,-32224,0,0,0,32224,32224,-32224,0,'byte_500'
'time_4',0,0,0,32224,32224,-32224,0,0,0,'byte_500'
'time_4',0,32224,32224,-32224,0,0,0,0,0,'byte_500'
'time_4',32224,0,0,0,0,0,0,0,0,'byte_10000'
'time_4',0,0,0,0,0,0,0,0,0,'byte_500'
'time_4',0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_7',0,0,0,0,0,0,0,0,0,'byte_500'
'time_7',0,0,0,0,0,0,0,32224,32224,'byte_10000'
'time_7',0,-32224,0,0,0,32224,32224,-32224,0,'byte_10000'
'time_7',0,0,0,32224,32224,-32224,0,0,0,'byte_500'
'time_7',0,32224,32224,-32224,0,0,0,32238,32238,'byte_10000'
'time_7',32224,-32238,0,0,0,32238,32238,-2943,29295,'byte_500'
'time_8',0,-29295,0,32238,32238,-2943,29295,2929,32224,'byte_500'
'time_8',0,14,32238,-2943,29295,2929,32224,-32224,0,'byte_500'
'time_8',32238,29295,29295,2929,32224,-32224,0,0,0,'byte_10000'
'time_8',29295,32224,32224,-32224,0,0,0,58590,58590,'byte_500'
'time_8',32224,-58590,0,0,0,58590,58590,-58590,0,'byte_10000'
'time_9',0,0,0,58590,58590,-58590,0,32238,32238,'byte_500'
'time_9',0,26352,58590,-58590,0,32238,32238,-32238,0,'byte_10000'
