@relation dataset_day_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',142,58609,58609,-58520,89,87971,88060,-23580,64480,'byte_500'
'time_0',58609,-64391,89,87971,88060,-23580,64480,-64425,55,'byte_500'
'time_0',89,88005,88060,-23580,64480,-64425,55,64413,64468,'byte_10000'
'time_0',88060,12,64480,-64425,55,64413,64468,-34971,29497,'byte_500'
'time_0',64480,-29442,55,64413,64468,-34971,29497,2800,32297,'byte_500'
'time_0',55,32171,64468,-34971,29497,2800,32297,-2965,29332,'byte_500'
'time_1',64468,165,29497,2800,32297,-2965,29332,2862,32194,'byte_500'
'time_1',29497,103,32297,-2965,29332,2862,32194,-32043,151,'byte_500'
'time_1',32297,29181,29332,2862,32194,-32043,151,31985,32136,'byte_10000'
'time_1',29332,58,32194,-32043,151,31985,32136,-2734,29402,'byte_500'
'time_1',32194,-29251,151,31985,32136,-2734,29402,-29079,323,'byte_500'
'time_1',151,31813,32136,-2734,29402,-29079,323,87482,87805,'byte_500'
'time_2',32136,-58403,29402,-29079,323,87482,87805,-55355,32450,'byte_500'
'time_2',29402,-32127,323,87482,87805,-55355,32450,-32330,120,'byte_500'
'time_2',323,87685,87805,-55355,32450,-32330,120,64151,64271,'byte_500'
'time_2',87805,-31821,32450,-32330,120,64151,64271,-34859,29412,'byte_500'
'time_2',32450,-29292,120,64151,64271,-34859,29412,2961,32373,'byte_500'
'time_2',120,31898,64271,-34859,29412,2961,32373,-31246,1127,'byte_500'
'time_3',64271,28285,29412,2961,32373,-31246,1127,-1088,39,'byte_500'
'time_3',29412,32334,32373,-31246,1127,-1088,39,32179,32218,'byte_500'
'time_3',32373,-31091,1127,-1088,39,32179,32218,-2923,29295,'byte_500'
'time_3',1127,-29256,39,32179,32218,-2923,29295,-29295,0,'byte_10000'
'time_3',39,32218,32218,-2923,29295,-29295,0,0,0,'byte_500'
'time_4',32218,29295,29295,-29295,0,0,0,29295,29295,'byte_10000'
'time_4',29295,-29295,0,0,0,29295,29295,-29295,0,'byte_500'
'time_4',0,0,0,29295,29295,-29295,0,0,0,'byte_10000'
'time_4',0,29295,29295,-29295,0,0,0,0,0,'byte_10000'
'time_4',29295,0,0,0,0,0,0,0,0,'byte_10000'
'time_4',0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,32224,32224,'byte_500'
'time_5',0,-32224,0,0,0,32224,32224,-32224,0,'byte_500'
'time_5',0,0,0,32224,32224,-32224,0,0,0,'byte_10000'
'time_5',0,32224,32224,-32224,0,0,0,0,0,'byte_500'
'time_5',32224,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_7',0,0,0,0,0,0,0,0,0,'byte_6000'
'time_7',0,0,0,0,0,0,0,32224,32224,'byte_10000'
'time_7',0,-32224,0,0,0,32224,32224,-32224,0,'byte_500'
'time_7',0,0,0,32224,32224,-32224,0,58590,58590,'byte_10000'
'time_7',0,-26366,32224,-32224,0,58590,58590,-58590,0,'byte_500'
'time_7',32224,0,0,58590,58590,-58590,0,29295,29295,'byte_10000'
'time_8',0,29295,58590,-58590,0,29295,29295,2929,32224,'byte_500'
'time_8',58590,-32224,0,29295,29295,2929,32224,-2929,29295,'byte_10000'
'time_8',0,0,29295,2929,32224,-2929,29295,-29295,0,'byte_10000'
'time_8',29295,32224,32224,-2929,29295,-29295,0,0,0,'byte_500'
'time_8',32224,29295,29295,-29295,0,0,0,0,0,'byte_10000'
'time_9',29295,0,0,0,0,0,0,32224,32224,'byte_500'
'time_9',0,-32224,0,0,0,32224,32224,-32224,0,'byte_10000'
'time_9',0,0,0,32224,32224,-32224,0,0,0,'byte_10000'
'time_9',0,32224,32224,-32224,0,0,0,0,0,'byte_500'
'time_9',32224,0,0,0,0,0,0,64449,64449,'byte_4500'
'time_9',0,-64449,0,0,0,64449,64449,-64449,0,'byte_10000'
'time_10',0,0,0,64449,64449,-64449,0,0,0,'byte_500'
'time_10',0,64449,64449,-64449,0,0,0,87885,87885,'byte_10000'
'time_10',64449,-87885,0,0,0,87885,87885,-23436,64449,'byte_500'
'time_10',0,-64449,0,87885,87885,-23436,64449,-32225,32224,'byte_500'
'time_10',0,55661,87885,-23436,64449,-32225,32224,-26550,5674,'byte_500'
'time_10',87885,58775,64449,-32225,32224,-26550,5674,52547,58221,'byte_500'
'time_11',64449,-25997,32224,-26550,5674,52547,58221,-58221,0,'byte_500'
'time_11',32224,5674,5674,52547,58221,-58221,0,32224,32224,'byte_500'
'time_11',5674,25997,58221,-58221,0,32224,32224,-32224,0,'byte_500'
'time_11',58221,0,0,32224,32224,-32224,0,32327,32327,'byte_500'
'time_11',0,-103,32224,-32224,0,32327,32327,-32327,0,'byte_500'
'time_12',32224,0,0,32327,32327,-32327,0,85869,85869,'byte_500'
'time_12',0,-53542,32327,-32327,0,85869,85869,-53523,32346,'byte_500'
'time_12',32327,-32346,0,85869,85869,-53523,32346,-32324,22,'byte_500'
'time_12',0,85847,85869,-53523,32346,-32324,22,64911,64933,'byte_500'
'time_12',85869,-32587,32346,-32324,22,64911,64933,-64799,134,'byte_500'
'time_12',32346,-112,22,64911,64933,-64799,134,128892,129026,'byte_500'
'time_13',22,-64093,64933,-64799,134,128892,129026,-99731,29295,'byte_1000'
'time_13',64933,-29161,134,128892,129026,-99731,29295,-28999,296,'byte_500'
'time_13',134,128730,129026,-99731,29295,-28999,296,3800,4096,'byte_1000'
'time_13',129026,25199,29295,-28999,296,3800,4096,23836,27932,'byte_500'
'time_13',29295,-27636,296,3800,4096,23836,27932,-27645,287,'byte_500'
'time_13',296,3809,4096,23836,27932,-27645,287,31842,32129,'byte_500'
'time_14',4096,-4197,27932,-27645,287,31842,32129,-31692,437,'byte_500'
'time_14',27932,-150,287,31842,32129,-31692,437,-98,339,'byte_500'
'time_14',287,31790,32129,-31692,437,-98,339,-241,98,'byte_500'
'time_14',32129,339,437,-98,339,-241,98,60,158,'byte_500'
'time_14',437,181,339,-241,98,60,158,243,401,'byte_500'
'time_14',339,-303,98,60,158,243,401,-373,28,'byte_500'
'time_15',98,130,158,243,401,-373,28,383,411,'byte_1000'
'time_15',158,-10,401,-373,28,383,411,-26,385,'byte_500'
'time_15',401,-357,28,383,411,-26,385,-263,122,'byte_500'
'time_15',28,289,411,-26,385,-263,122,208,330,'byte_500'
'time_15',411,55,385,-263,122,208,330,-291,39,'byte_500'
'time_16',385,83,122,208,330,-291,39,402,441,'byte_500'
'time_16',122,-111,330,-291,39,402,441,-185,256,'byte_500'
'time_16',330,-217,39,402,441,-185,256,86,342,'byte_1000'
'time_16',39,99,441,-185,256,86,342,15,357,'byte_500'
'time_16',441,-101,256,86,342,15,357,165,522,'byte_1000'
'time_16',256,-180,342,15,357,165,522,-354,168,'byte_500'
'time_17',342,189,357,165,522,-354,168,650,818,'byte_1000'
'time_17',357,-296,522,-354,168,650,818,-418,400,'byte_1000'
'time_17',522,-232,168,650,818,-418,400,-346,54,'byte_1000'
'time_17',168,764,818,-418,400,-346,54,-13,41,'byte_1000'
'time_17',818,359,400,-346,54,-13,41,46,87,'byte_1000'
'time_18',400,-33,54,-13,41,46,87,100,187,'byte_1000'
'time_18',54,-146,41,46,87,100,187,101,288,'byte_500'
'time_18',41,-201,87,100,187,101,288,155,443,'byte_1000'
'time_18',87,-256,187,101,288,155,443,-177,266,'byte_1000'
'time_18',187,22,288,155,443,-177,266,115,381,'byte_500'
'time_18',288,62,443,-177,266,115,381,149,530,'byte_1000'
'time_19',443,-264,266,115,381,149,530,-433,97,'byte_1000'
'time_19',266,284,381,149,530,-433,97,-83,14,'byte_500'
'time_19',381,516,530,-433,97,-83,14,85,99,'byte_500'
'time_19',530,-2,97,-83,14,85,99,5,104,'byte_10000'
'time_19',97,-90,14,85,99,5,104,-103,1,'byte_500'
'time_19',14,98,99,5,104,-103,1,12,13,'byte_10000'
'time_20',99,91,104,-103,1,12,13,733,746,'byte_10000'
'time_20',104,-745,1,12,13,733,746,-606,140,'byte_500'
'time_20',1,-127,13,733,746,-606,140,470,610,'byte_10000'
'time_20',13,136,746,-606,140,470,610,-379,231,'byte_10000'
'time_20',746,-91,140,470,610,-379,231,483,714,'byte_10000'
'time_21',140,-104,610,-379,231,483,714,-173,541,'byte_10000'
'time_21',610,-310,231,483,714,-173,541,167,708,'byte_10000'
'time_21',231,6,714,-173,541,167,708,-153,555,'byte_500'
'time_21',714,-14,541,167,708,-153,555,165,720,'byte_10000'
'time_21',541,-12,708,-153,555,165,720,199,919,'byte_10000'
'time_21',708,-364,555,165,720,199,919,-695,224,'byte_500'
'time_22',555,496,720,199,919,-695,224,617,841,'byte_10000'
'time_22',720,78,919,-695,224,617,841,-44,797,'byte_10000'
'time_22',919,-573,224,617,841,-44,797,-405,392,'byte_500'
'time_22',224,449,841,-44,797,-405,392,513,905,'byte_10000'
'time_22',841,-108,797,-405,392,513,905,-328,577,'byte_10000'
'time_23',797,-185,392,513,905,-328,577,-121,456,'byte_10000'
'time_23',392,449,905,-328,577,-121,456,-314,142,'byte_1500'
'time_23',905,435,577,-121,456,-314,142,58467,58609,'byte_500'
'time_23',577,-58153,456,-314,142,58467,58609,-58520,89,'byte_10000'
'time_23',456,53,142,58467,58609,-58520,89,87971,88060,'byte_10000'
