@relation dataset_day_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',19433,232737,232737,215034,447771,121747,569518,45377,614895,-600655,14240,461326,475566,'byte_10000'
'time_0',232737,-27795,447771,121747,569518,45377,614895,-600655,14240,461326,475566,-401377,74189,'byte_10000'
'time_0',447771,495329,569518,45377,614895,-600655,14240,461326,475566,-401377,74189,2290,76479,'byte_10000'
'time_0',569518,538416,614895,-600655,14240,461326,475566,-401377,74189,2290,76479,-56656,19823,'byte_10000'
'time_0',614895,-5583,14240,461326,475566,-401377,74189,2290,76479,-56656,19823,568245,588068,'byte_10000'
'time_0',14240,-112502,475566,-401377,74189,2290,76479,-56656,19823,568245,588068,-82705,505363,'byte_10000'
'time_1',475566,-431174,74189,2290,76479,-56656,19823,568245,588068,-82705,505363,-393380,111983,'byte_10000'
'time_1',74189,-35504,76479,-56656,19823,568245,588068,-82705,505363,-393380,111983,183800,295783,'byte_10000'
'time_1',76479,-275960,19823,568245,588068,-82705,505363,-393380,111983,183800,295783,-202136,93647,'byte_10000'
'time_1',19823,494421,588068,-82705,505363,-393380,111983,183800,295783,-202136,93647,144544,238191,'byte_10000'
'time_1',588068,267172,505363,-393380,111983,183800,295783,-202136,93647,144544,238191,247278,485469,'byte_10000'
'time_1',505363,-373486,111983,183800,295783,-202136,93647,144544,238191,247278,485469,-127668,357801,'byte_10000'
'time_2',111983,-62018,295783,-202136,93647,144544,238191,247278,485469,-127668,357801,-245168,112633,'byte_10000'
