@relation dataset_normal_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',501,64483,64483,-64483,0,32224,32224,-32143,81,11611,11692,36330,48022,'byte_10000'
'time_0',64483,-48022,0,32224,32224,-32143,81,11611,11692,36330,48022,-8075,39947,'byte_500'
'time_0',0,-7723,32224,-32143,81,11611,11692,36330,48022,-8075,39947,-10595,29352,'byte_500'
'time_0',32224,-29271,81,11611,11692,36330,48022,-8075,39947,-10595,29352,3245,32597,'byte_10000'
'time_0',81,-20905,11692,36330,48022,-8075,39947,-10595,29352,3245,32597,-32597,0,'byte_10000'
'time_0',11692,48022,48022,-8075,39947,-10595,29352,3245,32597,-32597,0,0,0,'byte_500'
'time_1',48022,39947,39947,-10595,29352,3245,32597,-32597,0,0,0,96897,96897,'byte_10000'
'time_1',39947,-67545,29352,3245,32597,-32597,0,0,0,96897,96897,-38148,58749,'byte_500'
'time_1',29352,-26152,32597,-32597,0,0,0,96897,96897,-38148,58749,-58742,7,'byte_500'
'time_1',32597,-7,0,0,0,96897,96897,-38148,58749,-58742,7,58535,58542,'byte_10000'
'time_1',0,-58542,0,96897,96897,-38148,58749,-58742,7,58535,58542,-38820,19722,'byte_10000'
'time_1',0,77175,96897,-38148,58749,-58742,7,58535,58542,-38820,19722,25036,44758,'byte_10000'
'time_2',96897,13991,58749,-58742,7,58535,58542,-38820,19722,25036,44758,-44758,0,'byte_500'
'time_2',58749,7,7,58535,58542,-38820,19722,25036,44758,-44758,0,0,0,'byte_500'
'time_2',7,58542,58542,-38820,19722,25036,44758,-44758,0,0,0,117405,117405,'byte_500'
'time_2',58542,-97683,19722,25036,44758,-44758,0,0,0,117405,117405,-85181,32224,'byte_10000'
'time_2',19722,12534,44758,-44758,0,0,0,117405,117405,-85181,32224,-32224,0,'byte_500'
'time_2',44758,0,0,0,0,117405,117405,-85181,32224,-32224,0,32224,32224,'byte_1500'
'time_3',0,-32224,0,117405,117405,-85181,32224,-32224,0,32224,32224,-32224,0,'byte_500'
'time_3',0,117405,117405,-85181,32224,-32224,0,32224,32224,-32224,0,0,0,'byte_500'
'time_3',117405,32224,32224,-32224,0,32224,32224,-32224,0,0,0,32224,32224,'byte_500'
'time_3',32224,-32224,0,32224,32224,-32224,0,0,0,32224,32224,-9033,23191,'byte_500'
'time_3',0,9033,32224,-32224,0,0,0,32224,32224,-9033,23191,14310,37501,'byte_500'
'time_4',32224,-37501,0,0,0,32224,32224,-9033,23191,14310,37501,-37501,0,'byte_500'
'time_4',0,0,0,32224,32224,-9033,23191,14310,37501,-37501,0,0,0,'byte_500'
'time_4',0,32224,32224,-9033,23191,14310,37501,-37501,0,0,0,0,0,'byte_500'
'time_4',32224,23191,23191,14310,37501,-37501,0,0,0,0,0,32224,32224,'byte_500'
'time_4',23191,5277,37501,-37501,0,0,0,0,0,32224,32224,-32224,0,'byte_500'
'time_4',37501,0,0,0,0,0,0,32224,32224,-32224,0,1383,1383,'byte_10000'
'time_5',0,-1383,0,0,0,32224,32224,-32224,0,1383,1383,-1383,0,'byte_500'
'time_5',0,0,0,32224,32224,-32224,0,1383,1383,-1383,0,0,0,'byte_500'
'time_5',0,32224,32224,-32224,0,1383,1383,-1383,0,0,0,0,0,'byte_500'
'time_5',32224,0,0,1383,1383,-1383,0,0,0,0,0,0,0,'byte_500'
'time_5',0,1383,1383,-1383,0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',1383,0,0,0,0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,0,0,32218,32218,'byte_500'
'time_6',0,-32218,0,0,0,0,0,0,0,32218,32218,-32211,7,'byte_500'
'time_7',0,-7,0,0,0,0,0,32218,32218,-32211,7,-7,0,'byte_500'
'time_7',0,0,0,0,0,32218,32218,-32211,7,-7,0,0,0,'byte_10000'
'time_7',0,0,0,32218,32218,-32211,7,-7,0,0,0,26,26,'byte_500'
'time_7',0,32192,32218,-32211,7,-7,0,0,0,26,26,-26,0,'byte_10000'
'time_7',32218,7,7,-7,0,0,0,26,26,-26,0,32218,32218,'byte_500'
'time_8',7,-32218,0,0,0,26,26,-26,0,32218,32218,-32218,0,'byte_500'
'time_8',0,0,0,26,26,-26,0,32218,32218,-32218,0,7,7,'byte_10000'
'time_8',0,19,26,-26,0,32218,32218,-32218,0,7,7,-7,0,'byte_500'
'time_8',26,0,0,32218,32218,-32218,0,7,7,-7,0,29,29,'byte_500'
'time_8',0,32189,32218,-32218,0,7,7,-7,0,29,29,-29,0,'byte_500'
'time_8',32218,0,0,7,7,-7,0,29,29,-29,0,0,0,'byte_10000'
'time_9',0,7,7,-7,0,29,29,-29,0,0,0,0,0,'byte_10000'
'time_9',7,0,0,29,29,-29,0,0,0,0,0,29324,29324,'byte_500'
'time_9',0,-29295,29,-29,0,0,0,0,0,29324,29324,-29324,0,'byte_500'
'time_9',29,0,0,0,0,0,0,29324,29324,-29324,0,32218,32218,'byte_10000'
'time_9',0,-32218,0,0,0,29324,29324,-29324,0,32218,32218,-32200,18,'byte_10000'
'time_9',0,-18,0,29324,29324,-29324,0,32218,32218,-32200,18,-18,0,'byte_500'
'time_10',0,29324,29324,-29324,0,32218,32218,-32200,18,-18,0,29295,29295,'byte_10000'
'time_10',29324,-29295,0,32218,32218,-32200,18,-18,0,29295,29295,-29295,0,'byte_10000'
'time_10',0,32218,32218,-32200,18,-18,0,29295,29295,-29295,0,0,0,'byte_10000'
'time_10',32218,18,18,-18,0,29295,29295,-29295,0,0,0,0,0,'byte_10000'
'time_10',18,0,0,29295,29295,-29295,0,0,0,0,0,32224,32224,'byte_10000'
'time_10',0,-2929,29295,-29295,0,0,0,0,0,32224,32224,-2935,29289,'byte_10000'
'time_11',29295,-29289,0,0,0,0,0,32224,32224,-2935,29289,-29282,7,'byte_10000'
'time_11',0,-7,0,0,0,32224,32224,-2935,29289,-29282,7,-7,0,'byte_10000'
'time_11',0,0,0,32224,32224,-2935,29289,-29282,7,-7,0,128884,128884,'byte_10000'
'time_11',0,-96660,32224,-2935,29289,-29282,7,-7,0,128884,128884,-64435,64449,'byte_10000'
'time_11',32224,-35160,29289,-29282,7,-7,0,128884,128884,-64435,64449,-64449,0,'byte_500'
'time_11',29289,7,7,-7,0,128884,128884,-64435,64449,-64449,0,32224,32224,'byte_500'
'time_12',7,-32224,0,128884,128884,-64435,64449,-64449,0,32224,32224,27371,59595,'byte_500'
'time_12',0,69289,128884,-64435,64449,-64449,0,32224,32224,27371,59595,37117,96712,'byte_500'
