@relation dataset_p2p5_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',7324,0,0,0,0,11064,11064,-3735,7329,'byte_4500'
'time_0',0,-7329,0,11064,11064,-3735,7329,-7204,125,'byte_3500'
'time_0',0,10939,11064,-3735,7329,-7204,125,6094,6219,'byte_9000'
'time_0',11064,1110,7329,-7204,125,6094,6219,1841,8060,'byte_10000'
'time_0',7329,-7935,125,6094,6219,1841,8060,-4404,3656,'byte_500'
'time_0',125,2563,6219,1841,8060,-4404,3656,4402,8058,'byte_10000'
'time_1',6219,2,8060,-4404,3656,4402,8058,-4028,4030,'byte_500'
'time_1',8060,-374,3656,4402,8058,-4028,4030,-914,3116,'byte_10000'
'time_1',3656,4942,8058,-4028,4030,-914,3116,5536,8652,'byte_7500'
'time_1',8058,-4622,4030,-914,3116,5536,8652,1441,10093,'byte_500'
'time_1',4030,-6977,3116,5536,8652,1441,10093,-10093,0,'byte_4500'
'time_1',3116,8652,8652,1441,10093,-10093,0,14647,14647,'byte_4000'
'time_2',8652,-4554,10093,-10093,0,14647,14647,-14647,0,'byte_8500'
'time_2',10093,0,0,14647,14647,-14647,0,12082,12082,'byte_2500'
'time_2',0,2565,14647,-14647,0,12082,12082,-4758,7324,'byte_6000'
'time_2',14647,-7324,0,12082,12082,-4758,7324,-7324,0,'byte_500'
'time_2',0,12082,12082,-4758,7324,-7324,0,4027,4027,'byte_500'
'time_2',12082,3297,7324,-7324,0,4027,4027,-365,3662,'byte_500'
'time_3',7324,-3662,0,4027,4027,-365,3662,4393,8055,'byte_500'
'time_3',0,-4028,4027,-365,3662,4393,8055,-5907,2148,'byte_500'
'time_3',4027,1514,3662,4393,8055,-5907,2148,3543,5691,'byte_500'
'time_3',3662,2364,8055,-5907,2148,3543,5691,-5691,0,'byte_500'
'time_3',8055,2148,2148,3543,5691,-5691,0,0,0,'byte_4500'
'time_4',2148,5691,5691,-5691,0,0,0,0,0,'byte_500'
'time_4',5691,0,0,0,0,0,0,0,0,'byte_500'
'time_4',0,0,0,0,0,0,0,0,0,'byte_500'
'time_4',0,0,0,0,0,0,0,4,4,'byte_500'
'time_4',0,-4,0,0,0,4,4,-4,0,'byte_500'
'time_4',0,0,0,4,4,-4,0,4028,4028,'byte_500'
'time_5',0,-4024,4,-4,0,4028,4028,-4028,0,'byte_500'
'time_5',4,0,0,4028,4028,-4028,0,4,4,'byte_500'
'time_5',0,4024,4028,-4028,0,4,4,-4,0,'byte_500'
'time_5',4028,0,0,4,4,-4,0,0,0,'byte_500'
'time_5',0,4,4,-4,0,0,0,0,0,'byte_4000'
'time_5',4,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,3661,3661,'byte_500'
'time_6',0,-3661,0,0,0,3661,3661,-3661,0,'byte_8500'
'time_7',0,0,0,3661,3661,-3661,0,0,0,'byte_2000'
'time_7',0,3661,3661,-3661,0,0,0,0,0,'byte_2500'
'time_7',3661,0,0,0,0,0,0,2,2,'byte_4500'
'time_7',0,-2,0,0,0,2,2,10981,10983,'byte_7500'
'time_7',0,-10983,0,2,2,10981,10983,-10983,0,'byte_4500'
'time_7',0,2,2,10981,10983,-10983,0,8055,8055,'byte_500'
'time_8',2,2928,10983,-10983,0,8055,8055,-6285,1770,'byte_8500'
'time_8',10983,-1770,0,8055,8055,-6285,1770,311,2081,'byte_4500'
'time_8',0,5974,8055,-6285,1770,311,2081,1946,4027,'byte_4000'
'time_8',8055,-2257,1770,311,2081,1946,4027,3300,7327,'byte_4500'
'time_8',1770,-5246,2081,1946,4027,3300,7327,-3300,4027,'byte_10000'
'time_9',2081,0,4027,3300,7327,-3300,4027,-4025,2,'byte_4500'
'time_9',4027,7325,7327,-3300,4027,-4025,2,8053,8055,'byte_4500'
'time_9',7327,-4028,4027,-4025,2,8053,8055,-4027,4028,'byte_4000'
'time_9',4027,-4026,2,8053,8055,-4027,4028,-366,3662,'byte_8500'
'time_9',2,4393,8055,-4027,4028,-366,3662,369,4031,'byte_2000'
'time_9',8055,-3,4028,-366,3662,369,4031,6951,10982,'byte_6500'
'time_10',4028,-7320,3662,369,4031,6951,10982,-6953,4029,'byte_4000'
'time_10',3662,2,4031,6951,10982,-6953,4029,-2,4027,'byte_500'
'time_10',4031,6955,10982,-6953,4029,-2,4027,-365,3662,'byte_10000'
'time_10',10982,367,4029,-2,4027,-365,3662,4392,8054,'byte_500'
'time_10',4029,-4027,4027,-365,3662,4392,8054,-6215,1839,'byte_8500'
'time_10',4027,1823,3662,4392,8054,-6215,1839,4274,6113,'byte_4000'
'time_11',3662,1941,8054,-6215,1839,4274,6113,-2450,3663,'byte_10000'
'time_11',8054,-1824,1839,4274,6113,-2450,3663,-3663,0,'byte_5000'
'time_11',1839,6113,6113,-2450,3663,-3663,0,12082,12082,'byte_10000'
'time_11',6113,-8419,3663,-3663,0,12082,12082,-12076,6,'byte_4500'
'time_11',3663,-6,0,12082,12082,-12076,6,8058,8064,'byte_4000'
'time_11',0,4018,12082,-12076,6,8058,8064,-4398,3666,'byte_4500'
'time_12',12082,-3660,6,8058,8064,-4398,3666,8415,12081,'byte_10000'
'time_12',6,-4017,8064,-4398,3666,8415,12081,-7313,4768,'byte_8500'
'time_12',8064,-1102,3666,8415,12081,-7313,4768,5545,10313,'byte_8500'
'time_12',3666,1768,12081,-7313,4768,5545,10313,-6286,4027,'byte_4000'
'time_12',12081,741,4768,5545,10313,-6286,4027,-362,3665,'byte_4500'
'time_13',4768,6648,10313,-6286,4027,-362,3665,359,4024,'byte_3500'
