@relation dataset_day_3_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',508,29334,29334,-29192,142,63441,63583,-34096,29487,'byte_10000'
'time_0',29334,-29345,142,63441,63583,-34096,29487,-29308,179,'byte_10000'
'time_0',142,63404,63583,-34096,29487,-29308,179,-102,77,'byte_500'
'time_0',63583,29410,29487,-29308,179,-102,77,-3,74,'byte_10000'
'time_0',29487,105,179,-102,77,-3,74,153,227,'byte_10000'
'time_0',179,-150,77,-3,74,153,227,64465,64692,'byte_500'
'time_1',77,-64618,74,153,227,64465,64692,-35440,29252,'byte_500'
'time_1',74,-29025,227,64465,64692,-35440,29252,-28970,282,'byte_500'
'time_1',227,64410,64692,-35440,29252,-28970,282,-101,181,'byte_10000'
'time_1',64692,29071,29252,-28970,282,-101,181,32358,32539,'byte_500'
'time_1',29252,-32257,282,-101,181,32358,32539,-32407,132,'byte_10000'
'time_1',282,49,181,32358,32539,-32407,132,32136,32268,'byte_500'
'time_2',181,271,32539,-32407,132,32136,32268,-2920,29348,'byte_10000'
'time_2',32539,-29216,132,32136,32268,-2920,29348,-29262,86,'byte_500'
'time_2',132,32182,32268,-2920,29348,-29262,86,49248,49334,'byte_10000'
'time_2',32268,-19986,29348,-29262,86,49248,49334,-17110,32224,'byte_500'
