@relation dataset_p2p5_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',25635,0,0,29356,29356,-1958,27398,-26663,735,23493,24228,-20619,3609,'byte_500'
'time_0',0,25747,29356,-1958,27398,-26663,735,23493,24228,-20619,3609,450,4059,'byte_4000'
'time_0',29356,23339,27398,-26663,735,23493,24228,-20619,3609,450,4059,21493,25552,'byte_8500'
'time_0',27398,-24817,735,23493,24228,-20619,3609,450,4059,21493,25552,-5405,20147,'byte_500'
'time_0',735,4081,24228,-20619,3609,450,4059,21493,25552,-5405,20147,-16126,4021,'byte_4000'
'time_0',24228,-412,3609,450,4059,21493,25552,-5405,20147,-16126,4021,6517,10538,'byte_4500'
'time_1',3609,-6479,4059,21493,25552,-5405,20147,-16126,4021,6517,10538,2710,13248,'byte_500'
'time_1',4059,12304,25552,-5405,20147,-16126,4021,6517,10538,2710,13248,7669,20917,'byte_7500'
'time_1',25552,-770,20147,-16126,4021,6517,10538,2710,13248,7669,20917,-15734,5183,'byte_4500'
'time_1',20147,-1162,4021,6517,10538,2710,13248,7669,20917,-15734,5183,16900,22083,'byte_4000'
'time_1',4021,-11545,10538,2710,13248,7669,20917,-15734,5183,16900,22083,-9998,12085,'byte_4500'
'time_1',10538,1163,13248,7669,20917,-15734,5183,16900,22083,-9998,12085,-12080,5,'byte_500'
'time_2',13248,20912,20917,-15734,5183,16900,22083,-9998,12085,-12080,5,7230,7235,'byte_500'
'time_2',20917,-2052,5183,16900,22083,-9998,12085,-12080,5,7230,7235,4866,12101,'byte_8500'
'time_2',5183,9982,22083,-9998,12085,-12080,5,7230,7235,4866,12101,-8074,4027,'byte_500'
'time_2',22083,8058,12085,-12080,5,7230,7235,4866,12101,-8074,4027,-4027,0,'byte_4000'
'time_2',12085,5,5,7230,7235,4866,12101,-8074,4027,-4027,0,0,0,'byte_500'
'time_2',5,7235,7235,4866,12101,-8074,4027,-4027,0,0,0,3577,3577,'byte_500'
'time_3',7235,8524,12101,-8074,4027,-4027,0,0,0,3577,3577,4570,8147,'byte_500'
'time_3',12101,-4120,4027,-4027,0,0,0,3577,3577,4570,8147,-8145,2,'byte_4500'
'time_3',4027,-2,0,0,0,3577,3577,4570,8147,-8145,2,3661,3663,'byte_4500'
'time_3',0,-3663,0,3577,3577,4570,8147,-8145,2,3661,3663,365,4028,'byte_500'
'time_3',0,-451,3577,4570,8147,-8145,2,3661,3663,365,4028,-4027,1,'byte_500'
'time_4',3577,8146,8147,-8145,2,3661,3663,365,4028,-4027,1,7326,7327,'byte_8500'
'time_4',8147,-7325,2,3661,3663,365,4028,-4027,1,7326,7327,-3299,4028,'byte_4000'
'time_4',2,-365,3663,365,4028,-4027,1,7326,7327,-3299,4028,-366,3662,'byte_4500'
'time_4',3663,366,4028,-4027,1,7326,7327,-3299,4028,-366,3662,367,4029,'byte_4000'
'time_4',4028,-4028,1,7326,7327,-3299,4028,-366,3662,367,4029,-4029,0,'byte_4500'
'time_4',1,7327,7327,-3299,4028,-366,3662,367,4029,-4029,0,0,0,'byte_4500'
'time_5',7327,4028,4028,-366,3662,367,4029,-4029,0,0,0,8055,8055,'byte_500'
'time_5',4028,-4393,3662,367,4029,-4029,0,0,0,8055,8055,-8055,0,'byte_4000'
'time_5',3662,4029,4029,-4029,0,0,0,8055,8055,-8055,0,3661,3661,'byte_5000'
'time_5',4029,-3661,0,0,0,8055,8055,-8055,0,3661,3661,-3661,0,'byte_4500'
'time_5',0,0,0,8055,8055,-8055,0,3661,3661,-3661,0,0,0,'byte_4500'
'time_5',0,8055,8055,-8055,0,3661,3661,-3661,0,0,0,0,0,'byte_500'
'time_6',8055,0,0,3661,3661,-3661,0,0,0,0,0,4028,4028,'byte_8500'
'time_6',0,-367,3661,-3661,0,0,0,0,0,4028,4028,3,4031,'byte_10000'
'time_6',3661,-4031,0,0,0,0,0,4028,4028,3,4031,-4031,0,'byte_10000'
'time_6',0,0,0,0,0,4028,4028,3,4031,-4031,0,0,0,'byte_10000'
'time_6',0,0,0,4028,4028,3,4031,-4031,0,0,0,8056,8056,'byte_7000'
'time_6',0,-4028,4028,3,4031,-4031,0,0,0,8056,8056,-4393,3663,'byte_7500'
'time_7',4028,368,4031,-4031,0,0,0,8056,8056,-4393,3663,365,4028,'byte_2500'
'time_7',4031,-4028,0,0,0,8056,8056,-4393,3663,365,4028,-368,3660,'byte_6500'
'time_7',0,-3660,0,8056,8056,-4393,3663,365,4028,-368,3660,368,4028,'byte_4500'
'time_7',0,4028,8056,-4393,3663,365,4028,-368,3660,368,4028,0,4028,'byte_10000'
'time_7',8056,-365,3663,365,4028,-368,3660,368,4028,0,4028,-4028,0,'byte_10000'
'time_7',3663,4028,4028,-368,3660,368,4028,0,4028,-4028,0,3537,3537,'byte_500'
'time_8',4028,123,3660,368,4028,0,4028,-4028,0,3537,3537,983,4520,'byte_10000'
'time_8',3660,-492,4028,0,4028,-4028,0,3537,3537,983,4520,-42,4478,'byte_10000'
'time_8',4028,-450,4028,-4028,0,3537,3537,983,4520,-42,4478,-190,4288,'byte_10000'
'time_8',4028,-4288,0,3537,3537,983,4520,-42,4478,-190,4288,-4286,2,'byte_10000'
'time_8',0,3535,3537,983,4520,-42,4478,-190,4288,-4286,2,8053,8055,'byte_3500'
'time_9',3537,-3535,4520,-42,4478,-190,4288,-4286,2,8053,8055,4585,12640,'byte_10000'
'time_9',4520,-8162,4478,-190,4288,-4286,2,8053,8055,4585,12640,5679,18319,'byte_4000'
'time_9',4478,-14031,4288,-4286,2,8053,8055,4585,12640,5679,18319,-2191,16128,'byte_4000'
'time_9',4288,-16126,2,8053,8055,4585,12640,5679,18319,-2191,16128,-9148,6980,'byte_7000'
'time_9',2,1075,8055,4585,12640,5679,18319,-2191,16128,-9148,6980,217,7197,'byte_10000'
'time_9',8055,5443,12640,5679,18319,-2191,16128,-9148,6980,217,7197,-4969,2228,'byte_10000'
'time_10',12640,16091,18319,-2191,16128,-9148,6980,217,7197,-4969,2228,3852,6080,'byte_10000'
'time_10',18319,10048,16128,-9148,6980,217,7197,-4969,2228,3852,6080,-2051,4029,'byte_2500'
'time_10',16128,2951,6980,217,7197,-4969,2228,3852,6080,-2051,4029,6985,11014,'byte_500'
'time_10',6980,-3817,7197,-4969,2228,3852,6080,-2051,4029,6985,11014,5100,16114,'byte_4000'
'time_10',7197,-13886,2228,3852,6080,-2051,4029,6985,11014,5100,16114,-16027,87,'byte_500'
'time_10',2228,5993,6080,-2051,4029,6985,11014,5100,16114,-16027,87,11997,12084,'byte_10000'
'time_11',6080,-8055,4029,6985,11014,5100,16114,-16027,87,11997,12084,4029,16113,'byte_10000'
'time_11',4029,-5099,11014,5100,16114,-16027,87,11997,12084,4029,16113,7599,23712,'byte_10000'
'time_11',11014,-7598,16114,-16027,87,11997,12084,4029,16113,7599,23712,581,24293,'byte_10000'
'time_11',16114,-24206,87,11997,12084,4029,16113,7599,23712,581,24293,-20824,3469,'byte_10000'
'time_11',87,8615,12084,4029,16113,7599,23712,581,24293,-20824,3469,8661,12130,'byte_500'
'time_11',12084,3983,16113,7599,23712,581,24293,-20824,3469,8661,12130,-8143,3987,'byte_10000'
'time_12',16113,19725,23712,581,24293,-20824,3469,8661,12130,-8143,3987,-327,3660,'byte_1000'
