@relation dataset_p2p5_12_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',8246,3665,3665,8638,12303,1559,13862,-4941,8921,'byte_4000'
'time_0',3665,3382,12303,1559,13862,-4941,8921,-2722,6199,'byte_10000'
'time_0',12303,7663,13862,-4941,8921,-2722,6199,-6198,1,'byte_4000'
'time_0',13862,8920,8921,-2722,6199,-6198,1,4026,4027,'byte_8000'
'time_0',8921,2172,6199,-6198,1,4026,4027,-4025,2,'byte_2000'
'time_0',6199,-1,1,4026,4027,-4025,2,16106,16108,'byte_10000'
'time_1',1,-12081,4027,-4025,2,16106,16108,-12446,3662,'byte_500'
'time_1',4027,-3660,2,16106,16108,-12446,3662,12449,16111,'byte_2000'
'time_1',2,-3,16108,-12446,3662,12449,16111,-12371,3740,'byte_500'
'time_1',16108,-78,3662,12449,16111,-12371,3740,4230,7970,'byte_6500'
'time_1',3662,8141,16111,-12371,3740,4230,7970,-6370,1600,'byte_1000'
'time_1',16111,2140,3740,4230,7970,-6370,1600,10482,12082,'byte_3500'
'time_2',3740,-4112,7970,-6370,1600,10482,12082,-12080,2,'byte_500'
'time_2',7970,1598,1600,10482,12082,-12080,2,1668,1670,'byte_4500'
'time_2',1600,10412,12082,-12080,2,1668,1670,-1670,0,'byte_4000'
'time_2',12082,2,2,1668,1670,-1670,0,6297,6297,'byte_500'
'time_2',2,-4627,1670,-1670,0,6297,6297,-5747,550,'byte_4500'
'time_3',1670,-550,0,6297,6297,-5747,550,2611,3161,'byte_500'
'time_3',0,3136,6297,-5747,550,2611,3161,-3161,0,'byte_4500'
'time_3',6297,550,550,2611,3161,-3161,0,4028,4028,'byte_500'
'time_3',550,-867,3161,-3161,0,4028,4028,-367,3661,'byte_500'
'time_3',3161,-3661,0,4028,4028,-367,3661,-3661,0,'byte_500'
'time_3',0,4028,4028,-367,3661,-3661,0,4027,4027,'byte_4000'
'time_4',4028,-366,3661,-3661,0,4027,4027,-4026,1,'byte_500'
'time_4',3661,-1,0,4027,4027,-4026,1,4026,4027,'byte_500'
'time_4',0,0,4027,-4026,1,4026,4027,-4027,0,'byte_500'
'time_4',4027,1,1,4026,4027,-4027,0,0,0,'byte_500'
'time_4',1,4027,4027,-4027,0,0,0,0,0,'byte_500'
'time_4',4027,0,0,0,0,0,0,3661,3661,'byte_500'
'time_5',0,-3661,0,0,0,3661,3661,-3661,0,'byte_500'
'time_5',0,0,0,3661,3661,-3661,0,0,0,'byte_500'
'time_5',0,3661,3661,-3661,0,0,0,0,0,'byte_500'
'time_5',3661,0,0,0,0,0,0,0,0,'byte_500'
