@relation dataset_p2p5_4_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',8056,0,0,16300,16300,-1646,14654,-10585,4069,6920,10989,-2934,8055,'byte_5500'
'time_0',0,8245,16300,-1646,14654,-10585,4069,6920,10989,-2934,8055,-2964,5091,'byte_500'
'time_0',16300,9563,14654,-10585,4069,6920,10989,-2934,8055,-2964,5091,-5089,2,'byte_500'
'time_0',14654,4067,4069,6920,10989,-2934,8055,-2964,5091,-5089,2,-2,0,'byte_8500'
'time_0',4069,10989,10989,-2934,8055,-2964,5091,-5089,2,-2,0,8053,8053,'byte_4500'
'time_0',10989,2,8055,-2964,5091,-5089,2,-2,0,8053,8053,-4026,4027,'byte_500'
'time_1',8055,1064,5091,-5089,2,-2,0,8053,8053,-4026,4027,-4027,0,'byte_8500'
'time_1',5091,2,2,-2,0,8053,8053,-4026,4027,-4027,0,8061,8061,'byte_4000'
'time_1',2,-8061,0,8053,8053,-4026,4027,-4027,0,8061,8061,-4243,3818,'byte_4000'
'time_1',0,4235,8053,-4026,4027,-4027,0,8061,8061,-4243,3818,41,3859,'byte_8500'
'time_1',8053,168,4027,-4027,0,8061,8061,-4243,3818,41,3859,4197,8056,'byte_7500'
'time_1',4027,-8056,0,8061,8061,-4243,3818,41,3859,4197,8056,-732,7324,'byte_4500'
